iter	Passed	Remaining
0	178	178512
1	181	90337
2	182	60640
3	186	46435
4	189	37763
5	193	31989
6	196	27862
7	198	24647
8	202	22252
9	202	20092
10	212	19133
11	213	17618
12	217	16499
13	220	15536
14	222	14583
15	225	13861
16	235	13634
17	239	13052
18	242	12521
19	244	11971
20	247	11542
21	251	11159
22	254	10808
23	257	10487
24	261	10191
25	264	9917
26	268	9663
27	271	9425
28	274	9201
29	278	8991
30	280	8765
31	283	8581
32	286	8409
33	288	8205
34	290	8003
35	292	7822
36	295	7689
37	298	7560
38	301	7438
39	303	7279
40	306	7169
41	329	7525
42	333	7416
43	336	7311
44	339	7212
45	343	7115
46	346	7019
47	363	7202
48	366	7112
49	367	6984
50	370	6901
51	374	6822
52	375	6707
53	378	6634
54	381	6559
55	385	6503
56	389	6443
57	399	6481
58	402	6416
59	404	6338
60	408	6288
61	411	6231
62	415	6174
63	418	6119
64	419	6036
65	423	5987
66	426	5937
67	438	6013
68	442	5964
69	445	5915
70	448	5870
71	452	5825
72	455	5783
73	458	5740
74	462	5698
75	465	5658
76	466	5595
77	478	5658
78	480	5598
79	483	5560
80	486	5523
81	490	5487
82	493	5449
83	496	5415
84	499	5380
85	503	5346
86	506	5313
87	522	5416
88	525	5383
89	529	5351
90	532	5318
91	535	5287
92	537	5239
93	540	5209
94	543	5179
95	545	5135
96	546	5090
97	550	5064
98	556	5065
99	559	5032
100	562	5006
101	565	4981
102	569	4956
103	572	4931
104	575	4908
105	579	4884
106	582	4861
107	585	4838
108	596	4877
109	600	4855
110	603	4832
111	606	4811
112	610	4790
113	613	4768
114	616	4746
115	620	4726
116	623	4705
117	634	4741
118	637	4721
119	641	4700
120	644	4680
121	647	4661
122	651	4642
123	654	4622
124	657	4604
125	661	4585
126	676	4649
127	679	4631
128	683	4612
129	686	4594
130	689	4576
131	693	4558
132	696	4539
133	699	4522
134	703	4504
135	706	4486
136	714	4502
137	718	4485
138	721	4467
139	723	4442
140	726	4425
141	729	4408
142	732	4392
143	736	4375
144	739	4359
145	742	4343
146	752	4368
147	756	4352
148	759	4336
149	762	4320
150	765	4305
151	768	4289
152	772	4275
153	775	4260
154	778	4244
155	789	4270
156	790	4244
157	793	4229
158	797	4215
159	800	4201
160	803	4187
161	806	4173
162	810	4159
163	813	4145
164	816	4165	165	819	4118
166	823	4106
167	826	4093
168	829	4080
169	833	4068
170	836	4055
171	839	4043
172	843	4030
173	846	4018
174	849	4006
175	858	4021
176	862	4009
177	865	3997
178	869	3986
179	872	3975
180	875	3963
181	879	3951
182	882	3939
183	885	3928
184	894	3941
185	898	3930
186	900	3915
187	904	3904
188	907	3894
189	911	3884
190	914	3873
191	916	3858
192	920	3847
193	923	3836
194	935	3863
195	939	3851
196	942	3840
197	945	3830
198	949	3820
199	952	3809
200	955	3799
201	959	3789
202	962	3778
203	978	3817
204	981	3806
205	984	3796
206	988	3785
207	990	3772
208	993	3761
209	997	3750
210	1000	3740
211	1003	3730
212	1006	3720
213	1017	3737
214	1021	3728
215	1024	3719
216	1028	3710
217	1031	3700
218	1034	3690
219	1036	36722220	1040	36622221	1043	36522222	1052	3665
223	1055	3656
224	1058	364225	1091	3738
226	1095	3728
227	1098	3719
228	1102	3711
229	1105	3701
230	1108	3691
231	1112	3682
232	1115	3673
233	1119	3664
234	1135	3694
235	1138	3685
236	1141	3676
237	1145	3666
238	1148	3657
239	1152	3648
240	1155	3639
24241	1143	35824242	1147	357243	1167	3618
244	1171	3609
245	1174	3600
24246	1160	35324247	1163	35224248	1166	35124249	1169	35025250	117251	1208	3585
252	1211	3576
253	1253	1213	3565
254	1217	3556
255	1220	3547
256	1223	3538
257	1225	3525
258	1229	3516
259	1232	3508
260	1235	3499
261	1239	3490
262	1241	3479
263	1260	3513
264	1263	3504
265	1266	3495
266	1270	3487
267	1273	3478
268	1276	3469
269	1291	3492
270	1295	3483
271	1298	3475
272	1306	3480
273	1310	3471
274	1313	3462
275	1316	3454
276	1320	3446
277	1323	3437
278	1326	3429
279	1330	3420
280	1333	3412
281	1337	3404
282	1345	3407
283	1348	3399
284	1351	3390
285	1354	3382
286	1358	3374
287	1361	3366
288	1365	3358
289	1368	3350
290	1371	3342
291	1387	3365
292	1391	3357
293	1394	3349
294	1398	3341
295	1401	3333
296	1404	3325
297	1408	3317
298	1411	3309
299	1415	3302
300	1427	3315
301	1431	3307
302	1434	3300
303	1438	3292
304	1441	3285
305	1445	3277
306	1447	3266
307	1450	3258
308	1453	3251
309	1457	3243
310	1466	3249
311	1470	3242
312	1473	3234
313	1476	3226
314	1479	3218
315	1483	3210
316	1486	3202
317	1489	3195
318	1493	3188
319	1500	3189
320	1504	3181
321	1507	3173
322	1510	3166
323	1514	3158
324	1517	3151
325	1518	3140
326	1522	3132
327	1525	3126
328	1529	3118
329	1545	3137
330	1548	3129
331	1551	3122
332	1555	3114
333	1558	3107
334	1561	3100
335	1565	3092
336	1568	3085
337	1571	3078
338	1586	3093
339	1589	3085
340	1592	3077
341	1595	3070
342	1599	3062
343	1602	3055
344	1605	3048
345	1609	3041
346	1612	3034
347	1617	3030
348	1620	3023
349	1624	3016
350	1627	3009
351	1631	3002
352	1634	2995
353	1637	2988
354	1640	2981
355	1644	2974
356	1648	2969
357	1652	2963
358	1654	2953
359	1657	2946
360	1660	2939
361	1664	2932
362	166363	1645	2875
364	1649	2869
365	1652	2863
366	1656	2856
367	1659	2850
368	1662	2843
369	1666	2837
370	1669	2830
371	1672	2823
372	1683	2829
373	1686	2822
374	1689	2816
375	1693	2809
376	169376	1734	2865
377	1737	2858
378	1740	2852
379	1744	2845
380	1747	2838
381	1750	2832
382	1754	2826
383	1755	2816
384	1759	2809
385	176386	174386	1774	2811
387	1777	2804
388	1781	2797
389	1784	2791
390	178391	1765	2738
392	176392	1805	2789
393	1809	2782
394	1812	2776
395	1823	2781
396	1826	2774
397	1830	2768
398	1833	2761
399	1836	2755
400	184401	181401	184402	181402	184403	182403	184404	182404	185405	182405	1871	2738
406	1874	2731
407	1878	2725
408	1881	2718
409	1885	2712
410	1888	2706
411	1891	2699
412	1895	2693
413	1898	2687
414	1908	2689
415	1911	2683
416	1915	2677
417	1918	2671
418	1921	2665
419	1925	2658
420	1928	2652
421	1932	2646
422	1935	2640
423	1945	2642
424	1948	2636
425	1951	2628
426	1954	2622
427	1957	2616
428	1961	2610
429	1964	2604
430	1968	2599
431	1972	2592
432	1975	2586
433	1984	2587
434	1988	2582
435	1990	2574
436	1993	2568
437	199438	1974	2523
439	1977	2517
440	1981	2511
441	1984	2505
442	1987	2499
443	199443	2031	2544
444	2035	2538
445	2038	2532
446	2041	2525
447	2045	2519
448	2048	2514
449	2052	2508
450	2055	2502
451	2058	2496
452	2062	2490
453	2067	2486
454	2071	2480
455	2074	2474
456	2078	2469
457	2081	2463
458	2084	2457
459	2087	2450
460	2091	2444
461	2094	2439
462	2103	2440
463	2107	2434
