iter	Logloss
0	0.6884145899
1	0.6837681661
2	0.6807848009
3	0.6739751173
4	0.6702046929
5	0.6652796927
6	0.6606599462
7	0.6567258874
8	0.65235884879	0.6512938264
10	0.6470191164
11	0.644648113
12	0.6405871181
13	0.6368156707
14	0.6342962439115	0.630261542
16	0.6206479859
17	0.6175559537
18	0.6138930276
19	0.6106293306
20	0.607009507
21	0.6030247189
22	0.5989779091
23	0.5961221755
24	0.5926570139
25	0.5893346455
26	0.5861211811
27	0.5823026829
28	0.5788497634
29	0.5755640633
30	0.5727493725
31	0.5689499087
32	0.5660421222
33	0.5637884606
34	0.5621250867
35	0.5594655613
36	0.5562857792
37	0.5529093129
38	0.5502451322
39	0.5485519122
40	0.5458494169
41	0.5429324916
42	0.5408972583
43	0.538319419
44	0.5360761998
45	0.5335961634
46	0.5315021328
47	0.5289686042
48	0.5260442399
49	0.5248576725
50	0.5225097906
51	0.5200446381
52	0.5189213342
53	0.5166218768
54	0.5144372521
55	0.5117133363
56	0.509947466
57	0.5076583929
58	0.5051946051
59	0.5035392105
60	0.5014424596
61	0.4990157512
62	0.4977135613
63	0.4954472218
64	0.4945567408
65	0.4927655035
66	0.4911458956
67	0.4889175587
68	0.4868809468
69	0.4849409197
70	0.4827328053
71	0.48097625
72	0.4789254492
73	0.4774167787
74	0.475756505
75	0.4739541313
76	0.4727135653
77	0.4711282126
78	0.4703437599
79	0.4687729819
80	0.4669573632
81	0.4653067709
82	0.4636678295
83	0.4619989283
84	0.4604881188
85	0.4591689705
86	0.4574158292
87	0.4555066705
88	0.4535924566
89	0.452153149
90	0.450694829
91	0.4493718257
92	0.4486997405
93	0.4470795723
94	0.4454322161
95	0.4443973858
96	0.4435165097
97	0.442122602
98	0.4409194024
99	0.4402988889
100	0.4391179524
101	0.4378708727
102	0.4365938396
103	0.4355113756
104	0.4343212266
105	0.433076981
106	0.4316940119
107	0.4301466849
108	0.4286959252
109	0.4274065081
110	0.4263877583
111	0.4252842738
112	0.4241031423
113	0.4230256292
114	0.4218948655
115	0.4208856022
116	0.4197672828
117	0.4182924747
118	0.4172421133
119	0.416095729
120	0.4148887461
121	0.4137561564
122	0.4125255553
123	0.4118090887
124	0.4106435255
125	0.4093829295
126	0.408487654
127	0.4076319844
128	0.4065601069
129	0.4055851905
130	0.4048906319
131	0.4043859095
132	0.4035141074
133	0.4026436967
134	0.4017875116
135	0.4010347826
136	0.4000245438
137	0.3989811551
138	0.3980369347
139	0.397351818
140	0.3965311659
141	0.3956795546
142	0.3948361268
143	0.3937741949
144	0.3927611399
145	0.3918676379
146	0.3908197961
147	0.3902705589
148	0.3890537116
149	0.3882185852
150	0.3874832435
151	0.3868887782
152	0.3860066045
153	0.3853355868
154	0.3847373157
155	0.3840633748
156	0.3838939747
157	0.383229481
158	0.3826146622
159	0.3819435581
160	0.3810325391
161	0.3804128054
162	0.3796277863
163	0.3788732531
164	0.3782079675
165	0.3774318485
166	0.3764990864
167	0.3761491076
168	0.3757434954
169	0.3749969585
170	0.374139689
171	0.3734816776
172	0.3729579256
173	0.3717544934
174	0.3710144045
175	0.3705065581
176	0.3700767307
177	0.3696946992
178	0.3688416554
179	0.3677855891
180	0.3671242953
181	0.3665048666
182	0.3657488681
183	0.364843493
184	0.3641823959
185	0.3635713536
186	0.363247113
187	0.3628328287
188	0.3622769036
189	0.3619036183
190	0.361518197
191	0.3611370096
192	0.3607770275
193	0.3600892248
194	0.3595234317
195	0.3591003533
196	0.3586860545
197	0.3580980115
198	0.3574924064
199	0.3569855302
200	0.3564427374
201	0.3558988566
202	0.3553839736
203	0.3549653603
204	0.3545596778
205	0.3539610293
206	0.3534375434
207	0.3531101272
208	0.3528468265
209	0.3524563539
210	0.3520002827
211	0.3515926841
212	0.3509176899
213	0.3506644594
214	0.3500422845
215	0.3494843639
216	0.3490997258
217	0.3487028688
218	0.3484853439
219	0.3483030166
220	0.347842965
221	0.3475387747
222	0.3471178813
223	0.3467303464
224	0.3460808822
225	225	0.3574942662
226	0.3570408998
227	0.3567091228
228	0.3561967723
229	0.3559084387
230	0.3556266608
231	0.355221117
232	0.3549180161
233	0.3543814732
234	0.3541361636
235	0.353741517
236	0.3533517188
237	0.3530480538
238	0.352807593
239	0.352358204
240	0.352044365241	0.3394415385
242	0.3387728193
24243	0.35063549
244	0.3501208376
245	0.3498263812
246	0.3370306769
247	0.3366205011
248	0.3362633483
249	0.3356285338
250	0.3353872251	0.3652023639
252	0.3647891983
253	253	0.3470842211
254	0.3467495383
255	0.3462029145
256	0.3457404381
257	0.3456767474
258	0.3454097871
259	0.3451038815
260	0.3447048023
261	0.3442476734
262	0.3440778017
263	0.3437861738
264	0.3434000894
265	0.3428906495
266	0.3426773438
267	0.3423724676
268	0.3420145119
269	0.3416972502
270	0.3413838922
271	0.3412065449
272	0.3408282824
273	0.3406845723
274	0.3403466509
275	0.3401192474
276	0.3395901214
277	0.3391053522
278	0.3387762217
279	0.3384502846
280	0.3380344469
281	0.3377932787
282	0.3375686729
283	0.3372877413
284	0.3370082977
285	0.3367308611
286	0.3364197929
287	0.3362181171
288	0.3358870164
289	0.3355401038
290	0.3351933456
291	0.3348734063
292	0.334482363
293	0.3340699591
294	0.3339780359
295	0.3335021031
296	0.3330863987
297	0.3327523042
298	0.3323865594
299	0.3322305024
300	0.3319229351
301	0.3316507928
302	0.3313440595
303	0.331062949
304	0.3307291559
305	0.3303773839
306	0.3303091173
307	0.3299591015
308	0.3297023869
